population,event_id,parent_event_id,matched_case,fold,signal_time,decision_time,direction,ma,signal_close,signal_atr,initial_stop,entry_open,raw_entry_segment_id,entry_distance_atr,entry_side,previous_hour_close_distance_atr,previous_hour_close_side,initial_R,entry_distance_r,geometry_bin
case,2024-01-14T19:00:00+00:00_S,,False,2024H1,2024-01-14 19:00:00+00:00,2024-01-14 20:00:00+00:00,-1.0,42868.74125,42659.7,222.47188871473105,42933.3,42659.7,1.0,0.9396299514859124,1,0.9396299514859124,1,273.6000000000058,0.7640396564327397,inside
case,2024-01-15T10:00:00+00:00_S,,False,2024H1,2024-01-15 10:00:00+00:00,2024-01-15 11:00:00+00:00,-1.0,42708.458750000005,42566.0,275.6882347263301,42764.7,42565.9,1.0,0.5171013196900435,1,0.5167385911169587,1,198.79999999999563,0.7170963279678416,inside
case,2024-01-15T14:00:00+00:00_S,,True,2024H1,2024-01-15 14:00:00+00:00,2024-01-15 15:00:00+00:00,-1.0,42684.36375,42199.9,298.1931193257689,42879.9,42199.9,1.0,1.6246644157832837,1,1.6246644157832837,1,680.0,0.7124466911764638,inside
case,2024-01-20T01:00:00+00:00_L,,True,2024H1,2024-01-20 01:00:00+00:00,2024-01-20 02:00:00+00:00,1.0,41537.43,41668.0,371.5065124543748,41479.1,41667.9,1.0,0.35119169012151397,1,0.3514608644068795,1,188.8000000000029,0.6910487288135548,inside
case,2024-01-28T18:00:00+00:00_S,,False,2024H1,2024-01-28 18:00:00+00:00,2024-01-28 19:00:00+00:00,-1.0,42071.75625,41973.8,232.30634330020737,42179.6,41973.8,1.0,0.4216684254437584,1,0.4216684254437584,1,205.79999999999563,0.47597789115645145,inside
case,2024-01-29T15:00:00+00:00_L,,False,2024H1,2024-01-29 15:00:00+00:00,2024-01-29 16:00:00+00:00,1.0,42214.6825,42649.9,288.8373557098479,41874.8,42649.8,1.0,1.5064446872900277,1,1.5067909028955293,1,775.0,0.5614419354838713,inside
case,2024-01-31T20:00:00+00:00_S,,True,2024H1,2024-01-31 20:00:00+00:00,2024-01-31 21:00:00+00:00,-1.0,43183.588749999995,42553.9,371.51409937597134,43360.0,42553.1,1.0,1.697078929330065,1,1.694925579022912,1,806.9000000000015,0.7813716073862879,inside
case,2024-02-07T03:00:00+00:00_S,,True,2024H1,2024-02-07 03:00:00+00:00,2024-02-07 04:00:00+00:00,-1.0,42926.8625,42811.1,211.64492568725603,43052.3,42811.0,1.0,0.5474381189332688,1,0.546965629457446,1,241.3000000000029,0.4801595524243743,inside
case,2024-02-12T09:00:00+00:00_S,,True,2024H1,2024-02-12 09:00:00+00:00,2024-02-12 10:00:00+00:00,-1.0,48092.45,47887.4,287.70266033201403,48134.1,47887.5,1.0,0.7123674135076857,1,0.7127149945828247,1,246.59999999999854,0.8311030008110231,inside
case,2024-02-12T14:00:00+00:00_L,,True,2024H1,2024-02-12 14:00:00+00:00,2024-02-12 15:00:00+00:00,1.0,48135.00625,48807.8,314.53002555232644,47929.9,48807.7,1.0,2.1387266567594723,1,2.1390445914298755,1,877.7999999999956,0.7663405673274116,inside
