event_id,mother_decision_time,fold,event_net_return,assigned_controls,control_mean_return,excess
2024-01-03T11:00:00+00:00_S,2024-01-03 12:00:00+00:00,2024H1,0.01825388283316398,0,,
2024-01-10T22:00:00+00:00_L,2024-01-10 23:00:00+00:00,2024H1,-0.015132756194293993,3,-0.010019835871190633,-0.00511292032310336
2024-01-14T13:00:00+00:00_L,2024-01-14 14:00:00+00:00,2024H1,-0.0025992100685945357,0,,
2024-01-14T19:00:00+00:00_S,2024-01-14 20:00:00+00:00,2024H1,-0.0011631446072054557,0,,
2024-01-15T10:00:00+00:00_S,2024-01-15 11:00:00+00:00,2024H1,-0.003205190069985429,0,,
2024-01-15T14:00:00+00:00_S,2024-01-15 15:00:00+00:00,2024H1,-0.013623250292062348,3,0.006768488541195682,-0.02039173883325803
2024-01-20T01:00:00+00:00_L,2024-01-20 02:00:00+00:00,2024H1,-0.004111937486650395,3,-0.006647907431887143,0.002535969945236748
2024-01-28T18:00:00+00:00_S,2024-01-28 19:00:00+00:00,2024H1,-0.004768393616970455,0,,
2024-01-29T15:00:00+00:00_L,2024-01-29 16:00:00+00:00,2024H1,0.013758573311011936,0,,
2024-01-31T20:00:00+00:00_S,2024-01-31 21:00:00+00:00,2024H1,0.0058584168955964095,3,0.0007880188965331287,0.005070397999063281
2024-02-07T03:00:00+00:00_S,2024-02-07 04:00:00+00:00,2024H1,-0.007636401859335338,3,-0.0034804563550856465,-0.004155945504249692
2024-02-12T09:00:00+00:00_S,2024-02-12 10:00:00+00:00,2024H1,-0.007149569303054102,3,-0.006553344116054569,-0.0005962251869995336
2024-02-12T14:00:00+00:00_L,2024-02-12 15:00:00+00:00,2024H1,0.021629468301108234,3,-0.012287051939505004,0.033916520240613236
2024-02-16T10:00:00+00:00_L,2024-02-16 11:00:00+00:00,2024H1,-0.011531182795698867,3,-0.005542434839069907,-0.00598874795662896
2024-02-18T14:00:00+00:00_L,2024-02-18 15:00:00+00:00,2024H1,-0.004767499229108794,3,0.002619835448609962,-0.007387334677718757
2024-02-19T17:00:00+00:00_L,2024-02-19 18:00:00+00:00,2024H1,-0.010929239087710483,3,0.014528669129972083,-0.025457908217682568
2024-02-21T23:00:00+00:00_L,2024-02-22 00:00:00+00:00,2024H1,-0.008915330589828073,0,,
2024-02-25T17:00:00+00:00_L,2024-02-25 18:00:00+00:00,2024H1,-0.002339327472340001,3,0.0048399125173879875,-0.007179239989727988
2024-02-29T19:00:00+00:00_L,2024-02-29 20:00:00+00:00,2024H1,-0.017990878111522557,3,0.007011359964687307,-0.025002238076209864
2024-03-02T20:00:00+00:00_S,2024-03-02 21:00:00+00:00,2024H1,-0.0028593563227301538,0,,
2024-03-11T06:00:00+00:00_L,2024-03-11 07:00:00+00:00,2024H1,0.03627566320645914,3,-0.007287559148143013,0.04356322235460215
2024-03-12T16:00:00+00:00_S,2024-03-12 17:00:00+00:00,2024H1,-0.015296073702611766,3,-0.009740834189922071,-0.0055552395126896945
2024-03-14T13:00:00+00:00_S,2024-03-14 14:00:00+00:00,2024H1,0.006870827447514662,3,0.006408057839951354,0.00046276960756330785
2024-03-16T01:00:00+00:00_S,2024-03-16 02:00:00+00:00,2024H1,0.0024506447303500618,3,-0.0019350933726358637,0.0043857381029859255
2024-03-20T14:00:00+00:00_L,2024-03-20 15:00:00+00:00,2024H1,-0.014147437893032853,3,-0.007723558947326938,-0.006423878945705915
2024-03-27T05:00:00+00:00_L,2024-03-27 06:00:00+00:00,2024H1,-0.004298560278324424,3,-0.006285663492791395,0.0019871032144669707
2024-03-28T06:00:00+00:00_L,2024-03-28 07:00:00+00:00,2024H1,0.003039236696329663,3,0.003163831255058223,-0.00012459455872855995
2024-03-29T07:00:00+00:00_S,2024-03-29 08:00:00+00:00,2024H1,-0.007265042466950254,3,-0.008556086607276468,0.001291044140326214
2024-03-29T14:00:00+00:00_S,2024-03-29 15:00:00+00:00,2024H1,0.0034005156529344233,0,,
2024-04-01T05:00:00+00:00_S,2024-04-01 06:00:00+00:00,2024H1,-0.01144941541139488,3,-0.0056030084511891785,-0.005846406960205701
2024-04-03T14:00:00+00:00_L,2024-04-03 15:00:00+00:00,2024H1,-0.01435744297719088,0,,
2024-04-03T19:00:00+00:00_S,2024-04-03 20:00:00+00:00,2024H1,-0.008095549139187861,3,-0.00325641763120025,-0.004839131507987612
2024-04-05T11:00:00+00:00_S,2024-04-05 12:00:00+00:00,2024H1,-0.011301262228211815,0,,
2024-04-10T19:00:00+00:00_L,2024-04-10 20:00:00+00:00,2024H1,0.005191463809479215,3,0.007221019828839013,-0.0020295560193597977
2024-04-18T13:00:00+00:00_L,2024-04-18 14:00:00+00:00,2024H1,-0.00015910375743488463,0,,
2024-04-19T01:00:00+00:00_S,2024-04-19 02:00:00+00:00,2024H1,-0.030964274008521864,3,-0.0064654678241974324,-0.024498806184324432
2024-04-21T22:00:00+00:00_L,2024-04-21 23:00:00+00:00,2024H1,-0.0057216626912542905,3,-0.0024945765186137688,-0.0032270861726405218
2024-04-30T08:00:00+00:00_S,2024-04-30 09:00:00+00:00,2024H1,0.01615189513602211,3,-0.0007737261034375462,0.016925621239459655
