fold,variant,timeframe_min,side,seed,seed_pairs,seed_matched_pairs,seed_mean_net_r_difference,seed_mean_net_return_difference,seed_match_rate
development,A,30,-1,86,480,479,0.09429931945879798,0.0015884032695320576,0.9979166666666667
development,A,30,-1,87,480,480,0.13564276288103852,0.002820483716903431,1.0
development,A,30,-1,88,480,480,0.2627254564112379,0.004061163019214282,1.0
development,A,30,-1,89,480,479,0.2699308508549083,0.00399262287959769,0.9979166666666667
development,A,30,-1,90,480,480,0.2241162257547381,0.00312014992750635,1.0
development,A,30,-1,91,480,480,0.2870906528913183,0.0025565635564556138,1.0
development,A,30,-1,92,480,480,0.15790684116002085,0.0007489983537132705,1.0
development,A,30,-1,93,480,477,0.08573271229572893,0.0025023319469132926,0.99375
development,A,30,-1,94,480,480,0.08948346272356017,0.0014487000430164758,1.0
development,A,30,-1,95,480,478,0.21847503721114864,0.0030024968747033504,0.9958333333333333
development,A,30,-1,96,480,478,0.21918294014931486,0.0027521635422175354,0.9958333333333333
development,A,30,-1,97,480,478,0.32099885196565237,0.003737628096032618,0.9958333333333333
development,A,30,-1,98,480,478,0.1949668590099776,0.0027502504262185506,0.9958333333333333
development,A,30,1,0,488,487,0.29538043054260804,0.006064969520128159,0.9979508196721312
development,A,30,1,1,488,484,0.1380254453093093,0.004531174716734854,0.9918032786885246
development,A,30,1,2,488,485,0.07739726801289937,0.004168457242338092,0.9938524590163934
development,A,30,1,3,488,487,0.2405771538054668,0.005596301181034697,0.9979508196721312
development,A,30,1,4,488,488,0.05493798978133107,0.0031873889143165706,1.0
development,A,30,1,5,488,485,0.12623606513800037,0.002353829885138376,0.9938524590163934
development,A,30,1,6,488,483,0.2504195903126144,0.0058178222934421936,0.9897540983606558
development,A,30,1,7,488,485,-0.04722699327928915,0.0015413858232474894,0.9938524590163934
development,A,30,1,8,488,484,0.2305157554865439,0.005704947050448255,0.9918032786885246
development,A,30,1,9,488,487,0.11533842506513638,0.004117070061833814,0.9979508196721312
development,A,30,1,10,488,485,0.16350174360452982,0.004692622365770812,0.9938524590163934
development,A,30,1,11,488,488,0.15159046660091136,0.0038614013233417626,1.0
development,A,30,1,12,488,486,0.024930938480925903,-0.001363448118819488,0.9959016393442623
development,A,30,1,13,488,486,0.0916793987612915,0.002693244752778862,0.9959016393442623
development,A,30,1,14,488,488,0.0012430816807366984,-0.0025190524337350235,1.0
development,A,30,1,15,488,487,0.3486565167994957,0.008081558419570294,0.9979508196721312
development,A,30,1,16,488,484,0.16417350906118355,0.004435213155912759,0.9918032786885246
development,A,30,1,17,488,487,0.3068100240090822,0.0072551861343199305,0.9979508196721312
development,A,30,1,18,488,486,0.4168496508064715,0.007272001614532057,0.9959016393442623
development,A,30,1,19,488,487,0.12530305913882214,0.00396675433295687,0.9979508196721312
development,A,30,1,20,488,484,0.11204909934128054,0.0020002363272614812,0.9918032786885246
development,A,30,1,21,488,487,0.1677894696359577,0.0014501248342026465,0.9979508196721312
