arm,stage,period,signals,alerts_per_day,distinct_labels,label_drop,labels_per_100_asset_days,baseline_signals,same_time_kept,same_time_removed,new_times,positive_events,hits_1,recall_1,recall_6,baseline_hit_events,retained_hit_events,retention,newly_caught,large_positive_events,large_hits_1,large_recall_1,large_baseline_hits,large_retained_hits,matched,unmatched,duplicates,unknown
v3,confirmed,week_2026-08-03,540,77.14285714285714,1483,0.0,78.75730217737653,540,540,0,0,198,72,0.36363636363636365,0.4797979797979798,72,72,1.0,0,79,32,0.4050632911392405,32,32,95,445,0,0
v3,confirmed,week_2026-08-10,311,44.42857142857143,1122,0.0,59.28665785997358,311,311,0,0,107,28,0.2616822429906542,0.3925233644859813,28,28,1.0,0,53,11,0.20754716981132076,11,11,42,269,0,0
v3,confirmed,week_2026-08-17,524,74.85714285714286,1848,0.0,97.41697416974169,524,524,0,0,549,143,0.2604735883424408,0.33697632058287796,143,143,1.0,0,398,97,0.24371859296482412,97,97,185,339,0,0
v3,confirmed,week_2026-08-24,392,56.0,1228,0.0,64.5198012215679,392,392,0,0,94,38,0.40425531914893614,0.4787234042553192,38,38,1.0,0,70,31,0.44285714285714284,31,31,45,347,0,0
v3,confirmed,week_2026-08-31,503,71.85714285714286,1621,0.0,85.13655462184875,503,503,0,0,261,63,0.2413793103448276,0.36398467432950193,63,63,1.0,0,138,37,0.26811594202898553,37,37,95,408,0,0
v3,confirmed,week_2026-09-07,136,68.0,409,0.0,75.18382352941177,136,136,0,0,19,6,0.3157894736842105,0.3684210526315789,6,6,1.0,0,8,4,0.5,4,4,7,56,0,73
density_rearm,confirmed,full,2557,41.91803278688525,6807,0.4347284504235177,41.3424503616275,3809,2379,1430,178,1660,371,0.22349397590361444,0.2969879518072289,488,360,0.7377049180327869,11,947,214,0.22597676874340022,290,207,493,2010,0,54
density_rearm,confirmed,first31,1324,42.70967741935484,3471,0.4029927760577915,41.69807637439371,1943,1245,698,79,630,175,0.2777777777777778,0.3603174603174603,210,170,0.8095238095238095,5,280,96,0.34285714285714286,110,93,227,1097,0,0
density_rearm,confirmed,last30,1233,41.1,3336,0.464354527938343,40.97881553288736,1866,1134,732,99,1030,196,0.19029126213592232,0.258252427184466,278,190,0.6834532374100719,6,667,118,0.17691154422788605,180,114,266,913,0,54
density_rearm,confirmed,case_night,90,180.0,162,0.4065934065934066,119.55719557195572,130,85,45,5,144,51,0.3541666666666667,0.4513888888888889,71,51,0.7183098591549296,0,91,30,0.32967032967032966,45,30,64,26,0,0
density_rearm,confirmed,week_2026-07-06,152,50.666666666666664,367,0.3704974271012007,45.8582808351122,207,146,61,6,51,17,0.3333333333333333,0.45098039215686275,16,16,1.0,1,30,12,0.4,11,11,23,129,0,0
density_rearm,confirmed,week_2026-07-13,309,44.142857142857146,743,0.3539130434782609,39.63018935016446,446,299,147,10,111,31,0.27927927927927926,0.36036036036036034,42,30,0.7142857142857143,1,44,17,0.38636363636363635,21,16,40,269,0,0
density_rearm,confirmed,week_2026-07-20,285,40.714285714285715,833,0.4088005677785663,44.237918215613384,419,263,156,22,172,46,0.26744186046511625,0.29651162790697677,50,43,0.86,3,78,22,0.28205128205128205,26,21,49,236,0,0
density_rearm,confirmed,week_2026-07-27,230,32.857142857142854,676,0.43145500420521443,35.90015932023367,331,221,110,9,98,25,0.25510204081632654,0.37755102040816324,30,25,0.8333333333333334,0,49,18,0.3673469387755102,20,18,39,191,0,0
density_rearm,confirmed,week_2026-08-03,348,49.714285714285715,852,0.42548887390424817,45.246946362188,540,316,224,32,198,56,0.2828282828282828,0.3838383838383838,72,56,0.7777777777777778,0,79,27,0.34177215189873417,32,27,76,272,0,0
density_rearm,confirmed,week_2026-08-10,227,32.42857142857143,679,0.39483065953654184,35.878467635402906,311,216,95,11,107,20,0.18691588785046728,0.2523364485981308,28,19,0.6785714285714286,1,53,5,0.09433962264150944,11,5,27,200,0,0
density_rearm,confirmed,week_2026-08-17,304,43.42857142857143,713,0.6141774891774892,37.58566157090142,524,274,250,30,549,93,0.16939890710382513,0.2331511839708561,143,90,0.6293706293706294,3,398,59,0.14824120603015076,97,56,128,176,0,0
density_rearm,confirmed,week_2026-08-24,284,40.57142857142857,783,0.3623778501628665,41.13925436196064,392,266,126,18,94,31,0.32978723404255317,0.3617021276595745,38,31,0.8157894736842105,0,70,25,0.35714285714285715,31,25,34,250,0,0
density_rearm,confirmed,week_2026-08-31,316,45.142857142857146,925,0.4293645897594077,48.581932773109244,503,280,223,36,261,47,0.18007662835249041,0.2720306513409962,63,45,0.7142857142857143,2,138,26,0.18840579710144928,37,25,71,245,0,0
density_rearm,confirmed,week_2026-09-07,102,51.0,236,0.4229828850855746,43.38235294117647,136,98,38,4,19,5,0.2631578947368421,0.3157894736842105,6,5,0.8333333333333334,0,8,3,0.375,4,3,6,42,0,54
