event_id,mother_decision_time,before,after,difference
2024-08-08T01:00:00+00:00_L,2024-08-08 02:00:00+00:00,0.005213205884552689,0.010164287698489241,0.004951081813936552
2024-08-15T17:00:00+00:00_S,2024-08-15 18:00:00+00:00,0.02412523704944406,0.02351549493894537,-0.00060974211049869
2024-08-16T09:00:00+00:00_L,2024-08-16 10:00:00+00:00,,,
2024-08-16T16:00:00+00:00_L,2024-08-16 17:00:00+00:00,0.00475944802368944,0.0037654938885861968,-0.0009939541351032428
2024-08-19T22:00:00+00:00_L,2024-08-19 23:00:00+00:00,0.02854869193738907,0.02871967889266861,0.00017098695527954094
2024-08-20T15:00:00+00:00_S,2024-08-20 16:00:00+00:00,,,
2024-08-21T14:00:00+00:00_S,2024-08-21 15:00:00+00:00,,,
2024-08-22T20:00:00+00:00_L,2024-08-22 21:00:00+00:00,-0.008804388745314714,-0.004605846218730614,0.0041985425265841005
2024-08-23T12:00:00+00:00_L,2024-08-23 13:00:00+00:00,-0.003558695560723931,0.00028887745420599,0.003847573014929921
2024-08-30T14:00:00+00:00_S,2024-08-30 15:00:00+00:00,,,
2024-08-31T13:00:00+00:00_S,2024-08-31 14:00:00+00:00,-0.01267517755737139,-0.01267517755737139,0.0
2024-09-04T19:00:00+00:00_L,2024-09-04 20:00:00+00:00,0.00336266498597082,0.0013654311473237555,-0.0019972338386470647
2024-09-05T03:00:00+00:00_S,2024-09-05 04:00:00+00:00,0.00014004749321272492,-0.0020669968826555847,-0.0022070443758683096
2024-09-06T13:00:00+00:00_S,2024-09-06 14:00:00+00:00,0.03824406865227625,0.043761972666045826,0.005517904013769573
2024-09-11T16:00:00+00:00_L,2024-09-11 17:00:00+00:00,,,
2024-09-13T07:00:00+00:00_L,2024-09-13 08:00:00+00:00,0.000962409224521954,-0.002427230574004143,-0.003389639798526097
2024-09-21T22:00:00+00:00_L,2024-09-21 23:00:00+00:00,,,
2024-09-22T21:00:00+00:00_S,2024-09-22 22:00:00+00:00,-0.009036242006105644,-0.009051518631551772,-1.5276625446128747e-05
2024-09-22T22:00:00+00:00_L,2024-09-22 23:00:00+00:00,-0.015145086590808413,-0.007635082964173701,0.007510003626634712
2024-09-24T00:00:00+00:00_S,2024-09-24 01:00:00+00:00,-0.0027923993412836503,-0.00026833425382570076,0.0025240650874579496
2024-10-03T07:00:00+00:00_S,2024-10-03 08:00:00+00:00,0.004193370680105427,0.004193370680105427,0.0
2024-10-05T22:00:00+00:00_L,2024-10-05 23:00:00+00:00,-0.004688562463803188,-0.0037547107113066564,0.0009338517524965315
2024-10-06T01:00:00+00:00_L,2024-10-06 02:00:00+00:00,-0.0014261194806399016,-0.0014261194806399016,0.0
2024-10-07T19:00:00+00:00_L,2024-10-07 20:00:00+00:00,-0.006157828416936869,-0.009595886568874187,-0.0034380581519373177
2024-10-07T22:00:00+00:00_S,2024-10-07 23:00:00+00:00,-0.0011563445910917438,0.0032655096859064425,0.004421854276998186
2024-10-14T00:00:00+00:00_S,2024-10-14 01:00:00+00:00,,,
2024-10-14T03:00:00+00:00_L,2024-10-14 04:00:00+00:00,,,
2024-10-17T06:00:00+00:00_S,2024-10-17 07:00:00+00:00,-0.0034050276038388727,-0.002748455179880427,0.0006565724239584458
2024-10-17T09:00:00+00:00_S,2024-10-17 10:00:00+00:00,,,
2024-10-18T01:00:00+00:00_L,2024-10-18 02:00:00+00:00,-0.002037764394415202,0.002348084439843541,0.004385848834258743
2024-10-19T14:00:00+00:00_L,2024-10-19 15:00:00+00:00,-0.008538239493298495,-0.008538239493298495,0.0
2024-10-24T00:00:00+00:00_L,2024-10-24 01:00:00+00:00,,,
