symbol,period,arm,entries,complete,net_profit_sum_independent_accounts,win_rate,mean_final_balance,max_adds
ENAUSDT,later,none,5.0,5.0,-93.53455460999994,0.4,81.29308907800001,0.0
ENAUSDT,later,two,5.0,5.0,-93.53455460999994,0.4,81.29308907800001,0.0
ETHUSDT,earlier,continuous,13.0,13.0,-315.93621322999957,0.15384615384615385,75.69721436692312,0.0
ETHUSDT,earlier,continuous_unprotected,13.0,13.0,-315.93621322999957,0.15384615384615385,75.69721436692312,0.0
ETHUSDT,earlier,none,13.0,13.0,-315.93621322999957,0.15384615384615385,75.69721436692312,0.0
ETHUSDT,earlier,two,13.0,13.0,-315.93621322999957,0.15384615384615385,75.69721436692312,0.0
ETHUSDT,later,continuous,2.0,2.0,-38.578659480000226,0.0,80.71067025999989,0.0
ETHUSDT,later,continuous_unprotected,2.0,2.0,-38.578659480000226,0.0,80.71067025999989,0.0
ETHUSDT,later,none,2.0,2.0,-38.578659480000226,0.0,80.71067025999989,0.0
ETHUSDT,later,two,2.0,2.0,-38.578659480000226,0.0,80.71067025999989,0.0
FILUSDT,earlier,continuous,11.0,11.0,1.7017598700020784,0.36363636363636365,100.15470544272745,4.0
FILUSDT,earlier,continuous_unprotected,11.0,10.0,-180.15231040999936,0.3,81.98476895900008,2.0
FILUSDT,earlier,none,11.0,11.0,-21.17865493999905,0.36363636363636365,98.07466773272736,0.0
FILUSDT,earlier,two,11.0,11.0,41.44417782000123,0.36363636363636365,103.76765252909104,2.0
FILUSDT,later,continuous,5.0,5.0,-58.17598566999899,0.4,88.3648028660002,0.0
FILUSDT,later,continuous_unprotected,5.0,5.0,-58.17598566999899,0.4,88.3648028660002,0.0
FILUSDT,later,none,5.0,5.0,-58.17598566999899,0.4,88.3648028660002,0.0
FILUSDT,later,two,5.0,5.0,-58.17598566999899,0.4,88.3648028660002,0.0
HYPEUSDT,earlier,continuous,2.0,2.0,0.7733687999998153,0.5,100.38668439999991,0.0
HYPEUSDT,earlier,continuous_unprotected,2.0,2.0,0.7733687999998153,0.5,100.38668439999991,0.0
HYPEUSDT,earlier,none,2.0,2.0,0.7733687999998153,0.5,100.38668439999991,0.0
HYPEUSDT,earlier,two,2.0,2.0,0.7733687999998153,0.5,100.38668439999991,0.0
HYPEUSDT,later,continuous,4.0,4.0,-42.98373130999941,0.5,89.25406717250016,1.0
HYPEUSDT,later,continuous_unprotected,4.0,4.0,-42.98373130999941,0.5,89.25406717250016,1.0
HYPEUSDT,later,none,4.0,4.0,-8.464793709999853,0.5,97.88380157250003,0.0
HYPEUSDT,later,two,4.0,4.0,-42.98373130999941,0.5,89.25406717250016,1.0
JUPUSDT,earlier,continuous,15.0,14.0,70.74460790000148,0.6428571428571429,105.05318627857152,1.0
JUPUSDT,earlier,continuous_unprotected,15.0,14.0,70.74460790000148,0.6428571428571429,105.05318627857152,1.0
JUPUSDT,earlier,none,15.0,14.0,153.11984900000118,0.6428571428571429,110.93713207142864,0.0
JUPUSDT,earlier,two,15.0,14.0,70.74460790000148,0.6428571428571429,105.05318627857152,1.0
JUPUSDT,later,continuous,7.0,7.0,-60.506747999999746,0.42857142857142855,91.3561788571429,0.0
JUPUSDT,later,continuous_unprotected,7.0,7.0,-60.506747999999746,0.42857142857142855,91.3561788571429,0.0
JUPUSDT,later,none,7.0,7.0,-60.506747999999746,0.42857142857142855,91.3561788571429,0.0
JUPUSDT,later,two,7.0,7.0,-60.506747999999746,0.42857142857142855,91.3561788571429,0.0
MUBARAKUSDT,earlier,continuous,4.0,4.0,-86.46614550999983,0.5,78.38346362250005,0.0
MUBARAKUSDT,earlier,continuous_unprotected,4.0,4.0,-86.46614550999983,0.5,78.38346362250005,0.0
MUBARAKUSDT,earlier,none,4.0,4.0,-86.46614550999983,0.5,78.38346362250005,0.0
MUBARAKUSDT,earlier,two,4.0,4.0,-86.46614550999983,0.5,78.38346362250005,0.0
MUBARAKUSDT,later,continuous,6.0,6.0,22.0719091400002,0.5,103.67865152333337,0.0
MUBARAKUSDT,later,continuous_unprotected,6.0,6.0,22.0719091400002,0.5,103.67865152333337,0.0
MUBARAKUSDT,later,none,6.0,6.0,22.0719091400002,0.5,103.67865152333337,0.0
MUBARAKUSDT,later,two,6.0,6.0,22.0719091400002,0.5,103.67865152333337,0.0
NEARUSDT,earlier,continuous,14.0,14.0,21.27589299999991,0.5,101.51970664285713,3.0
NEARUSDT,earlier,continuous_unprotected,14.0,12.0,-138.3937,0.4166666666666667,88.46719166666666,2.0
NEARUSDT,earlier,none,14.0,14.0,21.617933000000193,0.5,101.54413807142859,0.0
NEARUSDT,earlier,two,14.0,14.0,38.86203399999951,0.5,102.77585957142854,2.0
NEARUSDT,later,continuous,7.0,7.0,-117.39239800000031,0.2857142857142857,83.22965742857139,3.0
NEARUSDT,later,continuous_unprotected,7.0,6.0,-172.63224600000007,0.16666666666666666,71.22795899999998,3.0
