bar,arm_id,feature,operator,quantile,threshold,kind,events,retention,2023H1_events,2023H2_events,2023H1_net_bp,2023H2_net_bp,2023H1_improvement_bp,2023H2_improvement_bp,stable_improvement_bp,combined_net_bp,eligible
15m,k1_range_atr__ge_q50,k1_range_atr,>=,0.5,1.458294253371752,continuous,67,0.44370860927152317,45,22,-5.095554369310117,-22.838431292553494,2.604785312419488,-2.2982024399641325,-2.2982024399641325,-10.92157365753929,True
15m,k1_range_atr__ge_q75,k1_range_atr,>=,0.75,2.2583965970266093,continuous,33,0.2185430463576159,23,10,-11.932184888872461,-11.235366903221559,-4.2318452071428565,9.304861949367803,,-11.721027923523703,False
15m,k1_close_location__le_q25,k1_close_location,<=,0.25,0.6414435389988504,continuous,36,0.23841059602649006,23,13,-23.334607861615492,-17.187955392013478,-15.634268179885886,3.3522734605758835,-15.634268179885886,-21.114983358703658,True
15m,k1_close_location__le_q50,k1_close_location,<=,0.5,0.7767969735182738,continuous,75,0.4966887417218543,45,30,-9.365360672539072,-17.49553988069932,-1.6650209908094675,3.044688971890043,-1.6650209908094675,-12.617432355803167,True
15m,k1_close_location__ge_q50,k1_close_location,>=,0.5,0.7767969735182738,continuous,77,0.5099337748344371,45,32,-6.66589200931602,-23.394624763736267,1.0344476724135845,-2.8543959111469057,-2.8543959111469057,-13.618092634529633,True
15m,k1_close_location__ge_q75,k1_close_location,>=,0.75,0.8871733966745828,continuous,42,0.2781456953642384,23,19,-1.3624988992096287,-19.268891075684046,6.337840782519976,1.271337776905316,1.271337776905316,-9.463009645709958,True
15m,k1_cross_depth_atr__le_q25,k1_cross_depth_atr,<=,0.25,0.10203843794204363,continuous,47,0.31125827814569534,23,24,2.5950665806339397,-16.086570807132578,10.295406262363544,4.453658045456784,4.453658045456784,-6.944492936523434,True
15m,k1_cross_depth_atr__le_q50,k1_cross_depth_atr,<=,0.5,0.1782456102726255,continuous,75,0.4966887417218543,45,30,-10.153267735142215,-12.919378533749454,-2.4529280534126103,7.620850318839908,-2.4529280534126103,-11.259712054585112,True
15m,k1_cross_depth_atr__ge_q50,k1_cross_depth_atr,>=,0.5,0.1782456102726255,continuous,77,0.5099337748344371,45,32,-6.287299181907856,-27.684776026501766,1.413040499821749,-7.144547173912404,-7.144547173912404,-15.179757091349481,True
15m,k1_cross_depth_atr__ge_q75,k1_cross_depth_atr,>=,0.75,0.4074271965995895,continuous,36,0.23841059602649006,23,13,-1.397767167767109,-30.613882485821854,6.302572513962495,-10.073653633232492,-10.073653633232492,-11.94803103262021,True
