trade_id,candidate_id,side,signal_i,signal_time,entry_time,exit_time,exit_reason,pre_cross_path_efficiency_32,project_net_return,net_positive,training_eligible
v9_path_efficiency_lineage|development_continuous_2023_2024|61767|61768|short,pine-v9|short|61767|2023-10-09T01:15:00+00:00,short,61767,2023-10-09 01:15:00+00:00,2023-10-09 01:30:00+00:00,2023-10-15 18:15:00+00:00,reverse,0.195652173913043,0.03986890590876935,True,False
v9_path_efficiency_lineage|development_continuous_2023_2024|62410|62411|long,pine-v9|long|62410|2023-10-15T18:00:00+00:00,long,62410,2023-10-15 18:00:00+00:00,2023-10-15 18:15:00+00:00,2023-10-17 18:45:00+00:00,stop,0.0060862662079919465,-0.0010000000000001102,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|62947|62948|long,pine-v9|long|62947|2023-10-21T08:15:00+00:00,long,62947,2023-10-21 08:15:00+00:00,2023-10-21 08:30:00+00:00,2023-11-17 10:45:00+00:00,reverse,0.01841506310780255,0.21642353994627395,True,False
v9_path_efficiency_lineage|development_continuous_2023_2024|65548|65549|short,pine-v9|short|65548|2023-11-17T10:30:00+00:00,short,65548,2023-11-17 10:30:00+00:00,2023-11-17 10:45:00+00:00,2023-11-17 22:15:00+00:00,stop,0.29569338553472074,-0.0009999999999999992,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|66790|66791|short,pine-v9|short|66790|2023-11-30T09:00:00+00:00,short,66790,2023-11-30 09:00:00+00:00,2023-11-30 09:15:00+00:00,2023-11-30 12:00:00+00:00,stop,0.003303560504098639,-0.012459064111102867,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|66938|66939|long,pine-v9|long|66938|2023-12-01T22:00:00+00:00,long,66938,2023-12-01 22:00:00+00:00,2023-12-01 22:15:00+00:00,2023-12-11 01:30:00+00:00,reverse,0.08969973394146821,0.11271820076880412,True,False
v9_path_efficiency_lineage|development_continuous_2023_2024|67815|67816|short,pine-v9|short|67815|2023-12-11T01:15:00+00:00,short,67815,2023-12-11 01:15:00+00:00,2023-12-11 01:30:00+00:00,2023-12-14 23:00:00+00:00,stop,0.1183344305464084,-0.0010000000000001102,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|68481|68482|short,pine-v9|short|68481|2023-12-17T23:45:00+00:00,short,68481,2023-12-17 23:45:00+00:00,2023-12-18 00:00:00+00:00,2023-12-18 21:00:00+00:00,stop,0.1070962692408036,-0.0009999999999998881,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|68857|68858|long,pine-v9|long|68857|2023-12-21T21:45:00+00:00,long,68857,2023-12-21 21:45:00+00:00,2023-12-21 22:00:00+00:00,2023-12-22 07:00:00+00:00,stop,0.013150783642587233,-0.0010000000000001102,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|68962|68963|long,pine-v9|long|68962|2023-12-23T00:00:00+00:00,long,68962,2023-12-23 00:00:00+00:00,2023-12-23 00:15:00+00:00,2023-12-23 01:45:00+00:00,stop,0.03180592991913483,-0.015744126670814707,False,False
