signal_i,signal_time,side,pre_pairwise_cross_count,pre_pairwise_cross_breadth,pre_bandwidth_atr_mean,pre_bandwidth_atr_max,atr_release_ratio,oscillator_score,pre_cross_imbalance,current_alignment,directional_order_entropy,breakout_distance_atr,slope_coherence,signed_mean_slope_atr,dense_start_score,pre_directional_cross_count,pre_opposite_cross_count,training_eligible,passes_dense_l0,passes_dense_l1,passes_dense_l2,passes_dense_l3,selected_profile,selected_gate_pass,outcome_label_included
125198,2025-07-30 19:00:00+00:00,short,8.0,7.0,0.5404280615234583,0.9756876723038809,1.3068093842371067,0.31777155072806434,-3.0,8.0,0.9182958340544896,2.4087617690529,1.0,0.0577766716532484,0.8088812849856831,2.0,5.0,False,False,False,False,False,dense_l1,False,False
125856,2025-08-06 15:30:00+00:00,long,13.0,9.0,0.3626731389391055,0.8454903288510149,1.06127784681086,0.43379364317392044,-2.0,9.0,0.8112781244591328,1.5153146312157526,0.8333333333333334,0.03638542048912346,0.8013151468528716,5.0,7.0,False,False,False,False,False,dense_l1,False,False
125914,2025-08-07 06:00:00+00:00,long,4.0,3.0,2.770672185638785,3.0060005865409662,1.0097635354200216,0.6712030959296641,0.0,12.0,0.0,2.2677629461902726,1.0,0.07767669965502481,0.7206564780913448,1.0,1.0,False,True,True,False,False,dense_l1,True,False
126034,2025-08-08 12:00:00+00:00,long,2.0,2.0,4.7198737532962936,5.229165484637352,0.9879052920031486,0.23497967225059643,0.0,12.0,0.0,0.027999170259284514,1.0,0.06639875362140428,0.4458594228888696,0.0,0.0,False,False,False,False,False,dense_l1,False,False
126244,2025-08-10 16:30:00+00:00,long,2.0,2.0,1.732730313734901,2.10323471041832,0.951831751377478,0.40129752416016085,-1.0,4.0,0.9182958340544896,0.22064940701954516,0.6666666666666666,0.02076740676325001,0.44924102910466424,0.0,1.0,False,False,False,False,False,dense_l1,False,False
126337,2025-08-11 15:45:00+00:00,long,5.0,5.0,1.7642055623736148,2.456856604394043,1.022024176326181,1.9086666553566338,3.0,7.0,0.9798687566511528,1.9027878495460082,1.0,0.07465228342110179,0.7940027737074702,3.0,0.0,False,True,True,False,False,dense_l1,True,False
126795,2025-08-16 10:15:00+00:00,short,3.0,3.0,4.043477581967015,4.416843649718619,1.1716554629279046,0.46722113406942795,2.0,12.0,0.0,1.5820980452071456,1.0,0.09465601455726093,0.6797311751807732,2.0,0.0,False,False,False,False,False,dense_l1,False,False
127102,2025-08-19 15:00:00+00:00,short,8.0,6.0,1.50165081245879,1.93893524356716,1.1892364348001876,1.883536452574771,-2.0,10.0,0.6500224216483541,2.495630400423078,1.0,0.11197847446989573,0.8002983504921883,2.0,4.0,False,False,False,False,False,dense_l1,False,False
127851,2025-08-27 10:15:00+00:00,long,0.0,0.0,3.6491702233550947,4.024492150746525,1.0219916502613478,0.40176614278928363,0.0,12.0,0.0,0.13714384402876983,0.8333333333333334,0.01921132479357481,0.30820346772295976,0.0,0.0,False,False,False,False,False,dense_l1,False,False
127969,2025-08-28 15:45:00+00:00,short,5.0,4.0,1.4746460021776928,2.3220639548951296,1.1265761246541066,0.8303365572007094,3.0,8.0,0.9182958340544896,2.418552791455028,0.8333333333333334,0.09547423160336858,0.8164502057598704,4.0,1.0,False,True,True,True,False,dense_l1,True,False
