event_id,fold,case_state,control_ids,control_total,control_accepted,control_abstain,control_unknown,all_known
2024-03-11T06:00:00+00:00_L,2024H1,abstain,2024-03-11T06:00:00+00:00_L::control0|2024-03-11T06:00:00+00:00_L::control1|2024-03-11T06:00:00+00:00_L::control2,3,0,3,0,True
2024-03-12T16:00:00+00:00_S,2024H1,accepted,2024-03-12T16:00:00+00:00_S::control0|2024-03-12T16:00:00+00:00_S::control1|2024-03-12T16:00:00+00:00_S::control2,3,1,2,0,True
2024-03-14T13:00:00+00:00_S,2024H1,accepted,2024-03-14T13:00:00+00:00_S::control0|2024-03-14T13:00:00+00:00_S::control1|2024-03-14T13:00:00+00:00_S::control2,3,1,2,0,True
2024-03-16T01:00:00+00:00_S,2024H1,abstain,2024-03-16T01:00:00+00:00_S::control0|2024-03-16T01:00:00+00:00_S::control1|2024-03-16T01:00:00+00:00_S::control2,3,1,2,0,True
2024-03-20T14:00:00+00:00_L,2024H1,abstain,2024-03-20T14:00:00+00:00_L::control0|2024-03-20T14:00:00+00:00_L::control1|2024-03-20T14:00:00+00:00_L::control2,3,0,3,0,True
2024-03-27T05:00:00+00:00_L,2024H1,abstain,2024-03-27T05:00:00+00:00_L::control0|2024-03-27T05:00:00+00:00_L::control1|2024-03-27T05:00:00+00:00_L::control2,3,1,2,0,True
2024-03-28T06:00:00+00:00_L,2024H1,abstain,2024-03-28T06:00:00+00:00_L::control0|2024-03-28T06:00:00+00:00_L::control1|2024-03-28T06:00:00+00:00_L::control2,3,1,2,0,True
2024-03-29T07:00:00+00:00_S,2024H1,accepted,2024-03-29T07:00:00+00:00_S::control0|2024-03-29T07:00:00+00:00_S::control1|2024-03-29T07:00:00+00:00_S::control2,3,0,3,0,True
2024-04-01T05:00:00+00:00_S,2024H1,accepted,2024-04-01T05:00:00+00:00_S::control0|2024-04-01T05:00:00+00:00_S::control1|2024-04-01T05:00:00+00:00_S::control2,3,1,2,0,True
2024-04-03T19:00:00+00:00_S,2024H1,abstain,2024-04-03T19:00:00+00:00_S::control0|2024-04-03T19:00:00+00:00_S::control1|2024-04-03T19:00:00+00:00_S::control2,3,0,3,0,True
2024-04-10T19:00:00+00:00_L,2024H1,accepted,2024-04-10T19:00:00+00:00_L::control0|2024-04-10T19:00:00+00:00_L::control1|2024-04-10T19:00:00+00:00_L::control2,3,1,2,0,True
